Picture,Name,Port Type,Library
|colour.JPG|,Colour Sensor,I2C,`EVNColourSensor`_
|distance.JPG|,Distance Sensor,I2C,`EVNDistanceSensor`_
|compass.JPG|,Compass Sensor,I2C,`EVNCompassSensor`_
|imu.JPG|,6-Axis IMU Sensor,I2C,`EVNIMUSensor`_
|gesture.JPG|,Gesture Sensor,I2C,`EVNGestureSensor`_
|env.JPG|,Environment Sensor,I2C,`EVNEnvSensor`_
|touch.JPG|,Capacitive Touch Array,I2C,`EVNTouchArray`_
