0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.34
55,0.34
56,0.36
57,0.39
58,0.41
59,0.44
60,0.46
61,0.48
62,0.50
63,0.52
64,0.55
65,0.56
66,0.59
67,0.62
68,0.64
69,0.66
70,0.69
71,0.71
72,0.72
73,0.74
74,0.76
75,0.78
76,0.79
77,0.81
78,0.82
79,0.83
80,0.85
81,0.86
82,0.87
83,0.88
84,0.89
85,0.90
86,0.91
87,0.91
88,0.92
89,0.92
90,0.93
91,0.94
92,0.95
93,0.95
94,0.96
95,0.96
96,0.97
97,0.97
98,0.97
99,0.97
100,0.97
