0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.23
34,0.32
35,0.34
36,0.36
37,0.37
38,0.39
39,0.40
40,0.42
41,0.43
42,0.44
43,0.45
44,0.47
45,0.48
46,0.49
47,0.50
48,0.52
49,0.53
50,0.54
51,0.56
52,0.57
53,0.59
54,0.60
55,0.61
56,0.62
57,0.63
58,0.64
59,0.66
60,0.67
61,0.68
62,0.70
63,0.70
64,0.72
65,0.73
66,0.74
67,0.75
68,0.76
69,0.77
70,0.79
71,0.80
72,0.80
73,0.82
74,0.82
75,0.83
76,0.84
77,0.85
78,0.86
79,0.87
80,0.88
81,0.89
82,0.89
83,0.90
84,0.91
85,0.91
86,0.92
87,0.93
88,0.93
89,0.93
90,0.94
91,0.95
92,0.95
93,0.95
94,0.95
95,0.96
96,0.96
97,0.96
98,0.96
99,0.96
100,0.97
