0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.08
57,0.11
58,0.13
59,0.14
60,0.16
61,0.17
62,0.19
63,0.21
64,0.23
65,0.25
66,0.27
67,0.29
68,0.32
69,0.33
70,0.36
71,0.38
72,0.40
73,0.43
74,0.44
75,0.47
76,0.49
77,0.51
78,0.53
79,0.55
80,0.58
81,0.59
82,0.62
83,0.64
84,0.66
85,0.68
86,0.70
87,0.72
88,0.75
89,0.77
90,0.79
91,0.82
92,0.84
93,0.86
94,0.88
95,0.90
96,0.92
97,0.95
98,0.96
99,0.98
100,1.00
